model,pn_num,error_type,text,gold_context,pred_context,category
mistral,100,false_positive,intermittent tachycardia,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,100,false_positive,light headedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,100,false_negative,lightheaded,,"['intermittent tachycardia', 'pounding heart beat', 'light headedness', 'chest pressure']",other
mistral,100,false_negative,shortness of breath,,"['intermittent tachycardia', 'pounding heart beat', 'light headedness', 'chest pressure']",complex_phrasing
mistral,161,false_positive,breathlessness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,161,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,161,false_positive,constricting pressure over chest,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,161,false_negative,chest pressure,,"['palpitations', 'breathlessness', 'constricting pressure over chest']",other
mistral,161,false_negative,lightheaded,,"['palpitations', 'breathlessness', 'constricting pressure over chest']",other
mistral,161,false_negative,heart pounding or heart racing,,"['palpitations', 'breathlessness', 'constricting pressure over chest']",complex_phrasing
mistral,161,false_negative,shortness of breath,,"['palpitations', 'breathlessness', 'constricting pressure over chest']",complex_phrasing
mistral,188,false_negative,lightheaded,,"['heart pounding', 'chest pressure']",other
mistral,188,false_negative,shortness of breath,,"['heart pounding', 'chest pressure']",complex_phrasing
mistral,211,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,211,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,211,false_negative,lightheaded,,"['palpitations', 'lightheadedness', 'shortness of breath', 'chest pressure']",other
mistral,211,false_negative,heart pounding or heart racing,,"['palpitations', 'lightheadedness', 'shortness of breath', 'chest pressure']",complex_phrasing
mistral,224,false_positive,feeling of passing out,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,224,false_positive,chest pain,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,224,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,224,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,224,false_positive,dizziness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,224,false_negative,chest pressure,,"['chest pain', 'heart palpitations', 'feeling of passing out', 'dizziness', 'lightheadedness']",other
mistral,224,false_negative,lightheaded,,"['chest pain', 'heart palpitations', 'feeling of passing out', 'dizziness', 'lightheadedness']",other
mistral,224,false_negative,heart pounding or heart racing,,"['chest pain', 'heart palpitations', 'feeling of passing out', 'dizziness', 'lightheadedness']",complex_phrasing
mistral,224,false_negative,shortness of breath,,"['chest pain', 'heart palpitations', 'feeling of passing out', 'dizziness', 'lightheadedness']",complex_phrasing
mistral,225,false_negative,chest pressure,,"['heart pounding', 'shortness of breath']",other
mistral,225,false_negative,lightheaded,,"['heart pounding', 'shortness of breath']",other
mistral,234,false_positive,no cough,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,234,false_positive,no headaches,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,234,false_positive,no sweating,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,234,false_positive,no swelling of legs,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,234,false_positive,severe heart pounding episode,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,generic_term
mistral,234,false_positive,progressively worsening heart pounding episodes,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,234,false_positive,no blurry vision,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,234,false_positive,no chest pain,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,234,false_negative,chest pressure,,"['heart pounding', 'progressively worsening heart pounding episodes', 'severe heart pounding episode",other
mistral,234,false_negative,lightheaded,,"['heart pounding', 'progressively worsening heart pounding episodes', 'severe heart pounding episode",other
mistral,331,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,331,false_negative,lightheaded,,"['palpitations', 'shortness of breath sob', 'chest pressure']",other
mistral,331,false_negative,heart pounding or heart racing,,"['palpitations', 'shortness of breath sob', 'chest pressure']",complex_phrasing
mistral,344,false_positive,midsternal pressure,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,344,false_positive,marijuana use,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,344,false_positive,college freshman,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,344,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,344,false_positive,sexual activity with girlfriend,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,344,false_positive,use of adderall a few times a week,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,344,false_negative,chest pressure,,"['pounding heart beat', 'palpitations', 'shortness of breath', 'midsternal pressure', 'marijuana use",other
mistral,344,false_negative,lightheaded,,"['pounding heart beat', 'palpitations', 'shortness of breath', 'midsternal pressure', 'marijuana use",other
mistral,352,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,352,false_positive,chest tightness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,352,false_negative,chest pressure,,"['palpitations', 'chest tightness']",other
mistral,352,false_negative,lightheaded,,"['palpitations', 'chest tightness']",other
mistral,352,false_negative,heart pounding or heart racing,,"['palpitations', 'chest tightness']",complex_phrasing
mistral,352,false_negative,shortness of breath,,"['palpitations', 'chest tightness']",complex_phrasing
mistral,372,false_positive,sensation of heart jumping out of chest,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,372,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,372,false_negative,lightheaded,,"['heart pounding', 'sensation of heart jumping out of chest', 'shortness of breath sob', 'chest pres",other
mistral,390,false_positive,none no other symptoms reported,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,390,false_negative,lightheaded,,"['heart pounding', 'pressure in chest', 'none no other symptoms reported']",other
mistral,390,false_negative,shortness of breath,,"['heart pounding', 'pressure in chest', 'none no other symptoms reported']",complex_phrasing
mistral,426,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,426,false_negative,lightheaded,,"['chest pressure', 'shortness of breath', 'heart palpitations']",other
mistral,426,false_negative,heart pounding or heart racing,,"['chest pressure', 'shortness of breath', 'heart palpitations']",complex_phrasing
mistral,464,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,464,false_positive,heart palpitation,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,464,false_negative,lightheaded,,"['heart palpitation', 'pressure', 'shortness of breath', 'lightheadedness']",other
mistral,464,false_negative,heart pounding or heart racing,,"['heart palpitation', 'pressure', 'shortness of breath', 'lightheadedness']",complex_phrasing
mistral,489,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,489,false_negative,lightheaded,,"['chest pressure', 'shortness of breath', 'lightheadedness', 'heart pounding']",other
mistral,495,false_negative,lightheaded,,"['heart racing palpitations', 'chest pressure', 'shortness of breath sob']",other
mistral,510,false_negative,lightheaded,,"['heart pounding', 'shortness of breath', 'chest pressure discomfort']",other
mistral,575,false_positive,light headedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,575,false_positive,feeling of passing out,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,575,false_positive,heart racing,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,575,false_negative,lightheaded,,"['heart racing', 'heart pounding', 'chest pressure', 'light-headedness', 'feeling of passing out']",other
mistral,575,false_negative,shortness of breath,,"['heart racing', 'heart pounding', 'chest pressure', 'light-headedness', 'feeling of passing out']",complex_phrasing
mistral,583,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,583,false_negative,lightheaded,,"['heart palpitations', 'chest pressure', 'shortness of breath during episode']",other
mistral,583,false_negative,heart pounding or heart racing,,"['heart palpitations', 'chest pressure', 'shortness of breath during episode']",complex_phrasing
mistral,585,false_positive,sudden onset of symptoms during physical activity,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,585,false_positive,feeling of passing out,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,585,false_negative,lightheaded,,"['heart pounding', 'chest pressure', 'shortness of breath', 'feeling of passing out', 'sudden onset ",other
mistral,625,false_negative,lightheaded,,"['heart pounding', 'shortness of breath', 'chest pressure']",other
mistral,653,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,653,false_negative,lightheaded,,"['heart palpitations', 'chest pressure', 'shortness of breath']",other
mistral,653,false_negative,heart pounding or heart racing,,"['heart palpitations', 'chest pressure', 'shortness of breath']",complex_phrasing
mistral,669,false_positive,palpitations inferred from increased heart rate,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,669,false_positive,increased heart rate,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,669,false_negative,chest pressure,,"['increased heart rate', 'palpitations inferred from increased heart rate']",other
mistral,669,false_negative,lightheaded,,"['increased heart rate', 'palpitations inferred from increased heart rate']",other
mistral,669,false_negative,heart pounding or heart racing,,"['increased heart rate', 'palpitations inferred from increased heart rate']",complex_phrasing
mistral,669,false_negative,shortness of breath,,"['increased heart rate', 'palpitations inferred from increased heart rate']",complex_phrasing
mistral,673,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,673,false_negative,chest pressure,,['palpitations'],other
mistral,673,false_negative,lightheaded,,['palpitations'],other
mistral,673,false_negative,heart pounding or heart racing,,['palpitations'],complex_phrasing
mistral,673,false_negative,shortness of breath,,['palpitations'],complex_phrasing
mistral,699,false_positive,fast heart rate,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,699,false_positive,chest tightness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,699,false_negative,chest pressure,,"['heart pounding', 'fast heart rate', 'chest tightness']",other
mistral,699,false_negative,lightheaded,,"['heart pounding', 'fast heart rate', 'chest tightness']",other
mistral,699,false_negative,shortness of breath,,"['heart pounding', 'fast heart rate', 'chest tightness']",complex_phrasing
mistral,701,false_positive,sensation of passing out,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,701,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,701,false_negative,lightheaded,,"['heart palpitations', 'chest pressure', 'sensation of passing out']",other
mistral,701,false_negative,heart pounding or heart racing,,"['heart palpitations', 'chest pressure', 'sensation of passing out']",complex_phrasing
mistral,701,false_negative,shortness of breath,,"['heart palpitations', 'chest pressure', 'sensation of passing out']",complex_phrasing
mistral,719,false_positive,light headedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,719,false_negative,lightheaded,,"['heart pounding', 'chest pressure', 'shortness of breath', 'light headedness']",other
mistral,768,false_positive,shortness of breath for 2 days,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,768,false_negative,chest pressure,,"['heart pounding', 'shortness of breath for 2 days']",other
mistral,768,false_negative,lightheaded,,"['heart pounding', 'shortness of breath for 2 days']",other
mistral,768,false_negative,shortness of breath,,"['heart pounding', 'shortness of breath for 2 days']",complex_phrasing
mistral,769,false_positive,episodes lasting 10 minutes,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,769,false_positive,heart jumping out of chest,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,769,false_positive,symptoms after taking adderrall,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,769,false_positive,chest pain,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,769,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,769,false_positive,symptoms occurring while exercising,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,769,false_positive,symptoms not,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,769,false_positive,symptoms occurring while sitting around,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,769,false_negative,lightheaded,,"['heart pounding', 'chest pressure', 'shortness of breath', 'lightheadedness', 'episodes lasting 10 ",other
mistral,777,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,777,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,777,false_negative,lightheaded,,"['palpitations', 'shortness of breath sob', 'lightheadedness', 'chest pressure']",other
mistral,777,false_negative,heart pounding or heart racing,,"['palpitations', 'shortness of breath sob', 'lightheadedness', 'chest pressure']",complex_phrasing
mistral,796,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,796,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,796,false_negative,lightheaded,,"['heart palpitations', 'chest pressure', 'shortness of breath', 'lightheadedness']",other
mistral,796,false_negative,heart pounding or heart racing,,"['heart palpitations', 'chest pressure', 'shortness of breath', 'lightheadedness']",complex_phrasing
mistral,804,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,804,false_positive,tachycardia,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,804,false_negative,chest pressure,,"['tachycardia', 'lightheadedness']",other
mistral,804,false_negative,lightheaded,,"['tachycardia', 'lightheadedness']",other
mistral,804,false_negative,heart pounding or heart racing,,"['tachycardia', 'lightheadedness']",complex_phrasing
mistral,804,false_negative,shortness of breath,,"['tachycardia', 'lightheadedness']",complex_phrasing
mistral,810,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,810,false_negative,chest pressure,,"['heart pounding', 'shortness of breath', 'lightheadedness']",other
mistral,810,false_negative,lightheaded,,"['heart pounding', 'shortness of breath', 'lightheadedness']",other
mistral,816,false_positive,light headedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,816,false_negative,lightheaded,,"['heart pounding', 'chest pressure', 'shortness of breath sob', 'light-headedness']",other
mistral,817,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,817,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,817,false_negative,lightheaded,,"['palpitations', 'shortness of breath sob', 'chest pressure', 'lightheadedness']",other
mistral,817,false_negative,heart pounding or heart racing,,"['palpitations', 'shortness of breath sob', 'chest pressure', 'lightheadedness']",complex_phrasing
mistral,821,false_negative,lightheaded,,"['heart pounding', 'midline chest pressure']",other
mistral,821,false_negative,shortness of breath,,"['heart pounding', 'midline chest pressure']",complex_phrasing
mistral,831,false_positive,caffeine consumption 3 4 cups day,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,831,false_positive,chest tightness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,831,false_positive,stress,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,831,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,831,false_positive,none no other symptoms reported,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,831,false_negative,chest pressure,,"['heart palpitations', 'chest tightness', 'shortness of breath', 'stress', 'caffeine consumption 3-4",other
mistral,831,false_negative,lightheaded,,"['heart palpitations', 'chest tightness', 'shortness of breath', 'stress', 'caffeine consumption 3-4",other
mistral,831,false_negative,heart pounding or heart racing,,"['heart palpitations', 'chest tightness', 'shortness of breath', 'stress', 'caffeine consumption 3-4",complex_phrasing
mistral,861,false_negative,lightheaded,,"['heart pounding', 'chest pressure', 'shortness of breath']",other
mistral,883,false_positive,light headedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,883,false_negative,lightheaded,,"['heart pounding', 'light-headedness', 'shortness of breath', 'central chest pressure']",other
mistral,970,false_positive,heart pounding,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,970,false_positive,shortness of breath associated with the most recent episode,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,complex_phrasing
mistral,970,false_negative,chest pressure,,"['racing heart', 'heart pounding', 'shortness of breath associated with the most recent episode']",other
mistral,970,false_negative,lightheaded,,"['racing heart', 'heart pounding', 'shortness of breath associated with the most recent episode']",other
mistral,970,false_negative,shortness of breath,,"['racing heart', 'heart pounding', 'shortness of breath associated with the most recent episode']",complex_phrasing
mistral,977,false_positive,chest heaviness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,977,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,977,false_negative,chest pressure,,"['heart pounding', 'lightheadedness', 'shortness of breath', 'chest heaviness']",other
mistral,977,false_negative,lightheaded,,"['heart pounding', 'lightheadedness', 'shortness of breath', 'chest heaviness']",other
mistral,987,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,987,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,987,false_negative,lightheaded,,"['palpitations', 'lightheadedness', 'shortness of breath', 'chest pressure']",other
mistral,987,false_negative,heart pounding or heart racing,,"['palpitations', 'lightheadedness', 'shortness of breath', 'chest pressure']",complex_phrasing
mistral,1010,false_positive,none no other symptoms were reported or observed,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,1010,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,1010,false_negative,chest pressure,,"['pounding heart', 'shortness of breath', 'lightheadedness', 'none no other symptoms were reported o",other
mistral,1010,false_negative,lightheaded,,"['pounding heart', 'shortness of breath', 'lightheadedness', 'none no other symptoms were reported o",other
mistral,1110,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,1110,false_positive,exercise,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,1110,false_positive,adderall use,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,1110,false_negative,chest pressure,,"['palpitations', 'exercise', 'adderall use']",other
mistral,1110,false_negative,lightheaded,,"['palpitations', 'exercise', 'adderall use']",other
mistral,1110,false_negative,heart pounding or heart racing,,"['palpitations', 'exercise', 'adderall use']",complex_phrasing
mistral,1110,false_negative,shortness of breath,,"['palpitations', 'exercise', 'adderall use']",complex_phrasing
mistral,1115,false_positive,heart palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,1115,false_negative,chest pressure,,"['heart palpitations', 'shortness of breath']",other
mistral,1115,false_negative,lightheaded,,"['heart palpitations', 'shortness of breath']",other
mistral,1115,false_negative,heart pounding or heart racing,,"['heart palpitations', 'shortness of breath']",complex_phrasing
mistral,1133,false_positive,none no other symptoms were reported or observed,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,negation_error
mistral,1133,false_positive,lightheadedness,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,1133,false_negative,lightheaded,,"['heart racing', 'shortness of breath', 'lightheadedness', 'chest pressure', 'none no other symptoms",other
mistral,1146,false_positive,palpitations,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,other
mistral,1146,false_positive,syncope felt like almost passed out,"['Shortness-of-breath', 'heart-pounding-OR-heart-racing', 'Lightheaded', 'Chest-pressure']",,boundary_mismatch
mistral,1146,false_negative,lightheaded,,"['palpitations', 'chest pressure', 'syncope felt like almost passed out']",other
mistral,1146,false_negative,heart pounding or heart racing,,"['palpitations', 'chest pressure', 'syncope felt like almost passed out']",complex_phrasing
mistral,1146,false_negative,shortness of breath,,"['palpitations', 'chest pressure', 'syncope felt like almost passed out']",complex_phrasing
