model,note_id,prediction_sample,num_predictions
gemma,1042123b-22c8-4d61-b6c9-c718be9363fb,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",29
gemma,f2415b98-e712-49a6-a197-4637f9a08629,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,faa66a82-5b6f-4849-8ab6-838033a4660a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,3dda27a6-c349-4720-ac3c-65c7b65057ee,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,1b9178a3-ff3a-4f26-aea4-55f52006ab0d,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,69fefbc6-5c78-4af2-b7cb-36ca45e4a5e4,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,9e695056-5e02-418b-ac17-04574e227f7b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,adcbe10b-1d72-4e9c-87b9-2b32a70dfb37,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,5ab6c73a-153a-4a0a-9514-37367f7834c5,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,fce0f42d-55e7-4c8e-b09a-e2395e73bc32,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,b2e191a9-0fa8-4b9d-ae83-b1388ca6518e,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,b1ff2441-2f92-47f8-91c0-82893a55a35f,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,6cda92ee-83a9-4642-bf52-58654e18decb,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,ac8c67b4-35ea-43ce-96d0-caa78545782b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,cf6fdaac-6127-4583-ab32-e10dbc6d8110,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,e80f609f-f770-4162-8f0f-1180eed84f5f,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,02da4773-e29e-4bf1-884e-a1866d1b9ece,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,26adb4ff-f45e-4d52-876e-dea6e48f283d,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",25
gemma,d3382a7a-64e2-46bc-bc57-a7b6fbd3cb22,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,93571b92-0574-4e35-9fb3-2c17c45c7cc6,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,b89a24b3-7638-4109-8861-30dffc0b073b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,337ec9b5-a4b5-4221-a4a8-96aa8162bc66,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,32115690-c2f7-4174-ae38-6f0998dba176,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,5565c8fa-9c64-454e-9271-e0c4cd24f5ba,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,86ff49f3-8555-4415-a863-b02bb1af424b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,511c5a37-ebfe-4a71-ae28-5d284dcb520d,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,7ed7cf3a-845a-4971-90a9-69de6b12180e,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,6b6f9d90-772c-42d0-bc39-cb3281a19ff9,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,c3203bbf-9d12-4495-b45c-b34157cee24c,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,21158bdf-93fc-4c71-a832-d779c6d7a6dc,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",17
gemma,48250ffe-9927-49a2-bed2-9bbce8d8f280,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,6a538edb-6ee9-4073-983c-c51bda50164a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,a4f967ba-b151-4896-8818-b8a24636bb52,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,394d3fb5-7ce8-456f-8a95-458d70858be0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,23ce9cdd-3566-4e4c-8277-70c2d89bf094,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,0124de1f-5380-43f9-9281-0895de242b0e,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,9a9008d9-32d3-4367-9672-03343fab26c6,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",25
gemma,6c0ef6d2-a879-436e-b926-209d84e44437,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,0baf2795-35ec-4bcf-a71f-a2c4d5bb4567,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,b335d364-696b-41c7-a3d0-26c26acff349,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,d16778d6-fb24-466f-9542-d3e25a0a4849,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,18ec0531-9e1a-41f5-9d10-f602a848b717,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",29
gemma,38739fe8-85e4-4c10-90b1-9007a6baf671,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,cb3785ae-6eb5-4ce4-9cb9-9c4ef8ed34f4,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,8f2ef59e-67ed-4419-a40c-ba1bbf1d806e,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,ef8a867e-7114-4b29-916c-f4d8aa4faafb,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,3e79df46-5367-47ec-8132-7573acd8d67a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,f6a9a489-2a58-413c-b476-e60af41f51ff,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,d1069930-c9c7-4565-8644-41cf8ee2f633,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,a1744fb8-6d51-4fea-ad8f-34b199c89d39,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,3ce8df42-13b8-4600-9873-27e24dc6899d,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,91dacffa-2636-4a5b-a59a-d42632fe0b97,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,5ef2069e-5724-474a-b05d-801bc40ec399,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,4b58e49a-a313-49a6-9d6b-d00b4e91a4a9,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,df249d4f-402e-4b34-896b-b506ce31f8c0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,04e3b92f-ee08-4bf7-95f8-98ec0fbd08de,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,508db8b3-f077-44a5-90a0-ed02f78ea516,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,5bc8ce20-53af-4dbb-b0fd-be6e72b67243,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,fbe1483a-a7ac-4148-a874-881daec2d838,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,e3df9749-1449-43cc-ad6d-9cdbb8a7f702,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,2d85bee9-034b-4f30-a01f-389afcbc364e,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,515376a5-2063-4039-a680-80571015bfe8,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,8f698013-a30d-4b12-aaeb-8f62b11e3e09,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,235313bb-43af-4eaf-b296-c3a623b8a6a5,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,d7ecbdee-e85e-49e9-aea6-514bbb9afed0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,69289045-f62d-42e1-8eb2-f11f78672757,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,8dd89591-9dbe-446c-87ca-4f18f5a8a72a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,a1fbf4c3-8ac6-4517-a6bd-a64636487b6c,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,3803b896-8995-437a-aedb-a762c8a6ada0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,e2bbe6b9-7838-4fb5-aab2-9427597e1870,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,73e81b22-00ee-4940-b459-aa2680b555f3,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,2009d446-a198-4045-9123-c1162788f555,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,abf5ac0f-3aa1-4321-9226-e4abba281292,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",25
gemma,a6773b5e-05b8-46e0-b8e2-36fed09939a6,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,bf6db789-04c8-43d2-a7d4-ef8d19d3e4b0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,af7c0eb9-f7df-45c9-bd85-a82624bc4524,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,2e0d3897-f10f-4429-aef6-776a7beb1240,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,4b5b25b7-72d0-44bf-90cb-dd1b52ea74e2,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,3dbf06d3-24fc-4b25-a16c-3f7fd2c9b056,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,a7bd1337-616d-44e0-ae64-b025d2625adc,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,322d6c4d-389c-4640-be69-1339f46dfac8,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,a351464a-effb-4f86-9804-f144755ab40f,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,05993672-5eb1-4df8-bdcd-c2ec8c5a94e0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,c52ef69e-1387-45f7-adae-3117cbdd4525,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,4ae5d453-bc60-498b-b6b1-0f01e12026b0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,bbfe70f5-9e44-4452-ae99-643732c2215b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,a35e6dc1-a305-4443-b5e7-c424494a996a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,30f740d5-9372-45e2-b21d-9998aca066c9,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,c4cec3de-9d77-4859-9a05-568f5d09c1aa,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,ad3dd61b-dd01-4319-b0f8-30f06f97ca99,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,b88cda93-b6a5-401f-bb20-5fe242680f4b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,3dc5c90d-f676-42fc-8889-16b8a7b59d89,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,e654947f-4055-495d-bfca-eb50f77f6e6b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,f3ab95d2-1fa8-4630-a830-a5122685fabe,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,26a7f90e-b33f-46e6-80ec-92d0fc02dd31,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,7c713468-d0f4-44a5-b1a1-2a4720e361e3,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,0b2f71b7-5df5-4cbe-85ce-993296ebdcbe,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,019affd9-e71e-4f8e-aaa2-3aa7736b0cc2,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,4a441317-2e4b-4796-9a83-40c3856a9fca,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,a2196b4c-cd29-4301-b8ed-e7ab68b5c495,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,4d41f2ae-b951-4e06-a833-418681ade3da,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,45e6d9a0-4044-49f5-ac64-f37dd14bbf87,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,7a8f78c6-0337-4d7a-a93d-190b4e7a057b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,33b48c25-726b-4804-a504-b0791ca5bd7f,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,baf1dd40-42cf-43b7-a3ce-8697bdc5c933,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,8c6d5c80-586e-4b13-bd7f-faf12cf3ab50,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,3f5502ec-d694-49d0-b049-d83bb908b3c6,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,e720728f-1f30-4daa-9ead-4a984a6bade6,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,45f51e5d-528f-4529-a015-d0b661966d7a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,f4528c63-4559-444f-b201-bf06acc8fc51,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,a8ddbf93-edde-430f-87c3-1fcee1f33b22,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,99e5f7be-a0d8-45f8-a680-45b81dfcebef,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,32679318-9d69-4476-ae4c-031f314e582f,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,6a5724d8-20e6-40ab-ac87-8907679ba6d6,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,f2180d7d-e052-4a47-8cf2-72066f55b378,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",17
gemma,4bb6b9e1-6d0a-4837-b28d-48ca0633b1b5,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,d3057ff2-f5d9-4812-ba96-576e310a308b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,a27423e3-9668-4bf2-83ea-cc14054ec5b5,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,66481868-7ae1-483f-a0cf-7a0fa8305981,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,98ee83f9-71ad-4b82-806b-108b90cfded2,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,b90cb76e-a11f-4374-bb1b-58a8c43472e2,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,aed7ca01-2af3-4799-ac88-490d5515908e,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,ed5a482d-9d51-46b6-9fc8-dc7efd09fc4a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",26
gemma,86dced3a-67fc-474e-96b3-2b0b520bf282,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,b075ea54-1146-4e67-9dd2-e5b84557e206,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,8eec8316-d841-4fb7-ae5f-ed16942dd356,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,656eb105-345c-400c-bb1f-034c77336899,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,d055d218-0faf-4390-aa10-4e540dfe161b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,13f951da-1f8c-44ec-835f-2b26ca0cf4ae,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,d31cacba-b88d-4032-9d39-968d1f63061b,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,06d3cd7b-e3ef-42e3-8d8a-2c95eafcba2f,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,4ce15bbc-71c5-442e-bb6f-f907e471aa6f,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,f8a0baef-5c1b-4e8d-8183-1b5e96fcc9fd,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",29
gemma,3745f929-acf2-4a89-b8b1-2911b508fbc6,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,ad3900a4-dac5-447c-bba2-fa7b4def76e0,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
gemma,67947948-5ee3-448e-b40d-d0a41a646d20,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,c8d677c1-86e6-4140-91a9-0d6243770010,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,d3f3a499-ab3e-478b-b879-163e2327c8f5,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",14
gemma,d6da24b3-b2bd-438f-b971-bc66e35addb7,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,cec50d99-a226-473f-bbea-5eb72429ec00,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",13
gemma,01ec8c4f-ca2b-4676-8320-ec97468d3466,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",27
gemma,c3c644f1-acae-4dd7-a7f9-5a13a612f57a,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",16
gemma,6b09059a-fe3a-42dc-8e2d-966f7d55f7b4,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",12
gemma,5ac67be8-e2b8-4159-9416-ddf3e18540ce,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",15
gemma,08a37642-dfcf-4819-909b-a9f4c2d483ee,"['user', 'extract only symptoms and clinical findings', 'do not extract: diagnoses, medications, labs, procedures, demographics, family history']",28
